Region,Employment Status,Income,Number of Child(ren),Tax,Religion,Gender
West,Self Employed,5.628,1,1.328,Christianity,Male
East,Self Employed,9.024,2,1.328,Christianity,Female
East,Self Employed,4.392,1,1.304,Christianity,Male
West,Self Employed,3.048,2,1.304,Christianity,Male
West,Employed,19.176,2,1.295,Islam,Female
West,Self Employed,13.32,5,1.284,Christianity,Male
West,Self Employed,16.152,2,1.267,Christianity,Female
West,Self Employed,6.324,1,1.232,Christianity,Male
East,Unemployed,3.804,1,1.208,Christianity,Male
East,Employed,2.838,1,1.202,Islam,Female
East,Employed,15.768,2,1.201,Christianity,Male
East,Employed,25.056,4,1.197,Christianity,Female
West,Employed,21,2,1.177,Christianity,Male
West,Self Employed,8.514,11,1.168,Islam,Male
West,Unemployed,1.788,1,1.084,Christianity,Female
East,Self Employed,9.144,2,1.082,Christianity,Male
East,Employed,10.176,2,1.071,Christianity,Female
West,Self Employed,1.566,1,1.058,Christianity,Male
West,Self Employed,43.368,2,2.97,Traditional,Male
West,Self Employed,3.432,2,1.604,Traditional,Female
North,Self Employed,523.602,3,97.846,Islam,Male
North,Self Employed,55.908,3,14.646,Islam,Female
East,Employed,174.636,9,12.42,Islam,Male
East,Employed,44.112,2,6.831,Islam,Male
North,Self Employed,16.938,3,2.824,Islam,Female
East,Employed,25.344,3,2.33,Islam,Male
East,Employed,19.38,1,1.97,Islam,Female
East,Employed,3.84,4,1.67,Islam,Male
East,Self Employed,394.704,6,115.723,Atheist,Male
West,Employed,1130.832,6,62.038,Christianity,Female
East,Self Employed,409.26,5,28.996,Christianity,Male
West,Employed,286.9204,2,13.926,Christianity,Female
West,Employed,145.26,3,9.893,Christianity,Male
East,Employed,148.104,3,9.822,Islam,Male
West,Self Employed,100.764,9,8.856,Christianity,Female
South,Self Employed,19.332,3,8.144,Atheist,Male
East,Employed,52.86,5,7.747,Islam,Female
East,Self Employed,65.232,9,6.273,Christianity,Male
East,Self Employed,66.948,7,5.729,Christianity,Male
East,Employed,13.68,3,1.853,Islam,Female
East,Employed,45.528,7,1.74,Islam,Male
East,Employed,3.618,3,1.464,Islam,Female
East,Employed,8.136,3,1.137,Islam,Male
East,Employed,1019.904,4,115.812,Christianity,Male
East,Employed,215.424,11,16.793,Christianity,Female
West,Unemployed,31.968,3,3.865,Islam,Male
West,Unemployed,16.17,7,2.752,Islam,Female
East,Employed,2.364,2,1.222,Christianity,Male
West,Employed,1001.76,5,130.682,Islam,Male
West,Employed,634.1192,5,87.689,Islam,Female
West,Unemployed,402.96,4,25.201,Christianity,Male
West,Employed,112.752,3,23.264,Islam,Female
West,Employed,210.192,2,22.466,Islam,Male
West,Employed,145.896,2,22.107,Islam,Male
North,Self Employed,96,5,15.045,Islam,Female
West,Employed,54.636,1,9.537,Islam,Male
West,Self Employed,53.208,3,9.098,Traditional,Female
West,Self Employed,95.28,5,6.547,Christianity,Male
West,Unemployed,65.4,2,6.277,Islam,Male
West,Employed,41.16,5,4.869,Islam,Female
West,Self Employed,62.316,3,4.702,Traditional,Male
West,Employed,31.968,3,4.521,Islam,Female
West,Self Employed,32.508,1,2.276,Christianity,Male
East,Employed,129.276,3,2.018,Christianity,Male
West,Employed,12.324,2,1.718,Christianity,Female
West,Self Employed,27.072,6,1.271,Christianity,Male
West,Unemployed,3.624,4,1.237,Christianity,Female
West,Unemployed,173.796,7,16.512,Christianity,Male
West,Unemployed,200.6888,4,11.587,Christianity,Male
East,Unemployed,2.238,1,1.193,Christianity,Female
West,Unemployed,292.99608,6,34.324,Islam,Male
West,Unemployed,204.876,3,30.13,Islam,Female
West,Unemployed,37.68,5,4.407,Islam,Male
West,Unemployed,21.684,1,2.663,Islam,Male
West,Unemployed,7.38,3,1.956,Islam,Female
West,Unemployed,4.41,5,1.405,Islam,Male
West,Employed,23.76,3,6.005,Islam,Female
North,Employed,238.4824,5,59.649,Islam,Male
East,Self Employed,77.532,7,6.606,Islam,Male
East,Unemployed,17.22,1,1.913,Christianity,Female
East,Unemployed,19.548,3,1.766,Christianity,Male
West,Self Employed,297.3,5,13.754,Christianity,Female
North,Self Employed,18.528,2,4.455,Islam,Male
West,Self Employed,206.664,2,13.367,Christianity,Male
West,Self Employed,8.688,2,1.744,Christianity,Female
West,Self Employed,13.932,3,1.251,Christianity,Male
East,Self Employed,355.38,5,12.131,Islam,Female
West,Employed,373.284,3,30.005,Christianity,Male
West,Unemployed,417.456,6,12.531,Christianity,Male
West,Unemployed,227.82,5,10.91,Christianity,Female
West,Self Employed,92.88,5,10.419,Christianity,Male
West,Unemployed,110.952,6,8.521,Christianity,Female
West,Unemployed,75.72,10,6.393,Christianity,Male
West,Self Employed,74.736,4,6.329,Christianity,Male
West,Self Employed,66.948,7,5.461,Christianity,Female
West,Self Employed,57.96,2,3.584,Christianity,Male
West,Employed,76.368,2,3.348,Christianity,Female
East,Self Employed,46.224,3,3.107,Christianity,Male
South,Self Employed,75.168,8,3.027,Christianity,Male
West,Unemployed,42.384,2,2.921,Christianity,Female
West,Employed,43.164,3,2.092,Christianity,Male
West,Self Employed,23.664,4,2.081,Christianity,Female
West,Employed,5.598,1,1.403,Christianity,Male
West,Unemployed,35.136,3,1.217,Christianity,Male
West,Employed,13.32,5,1.105,Christianity,Female
South,Unemployed,363.6,6,57.681,Islam,Male
East,Self Employed,207.864,2,26.264,Islam,Female
East,Self Employed,60.264,9,5.272,Islam,Male
East,Self Employed,17.412,1,2.772,Christianity,Male
East,Self Employed,10.836,1,1.616,Christianity,Female
East,Self Employed,10.044,3,1.083,Islam,Male
East,Self Employed,156.456,1,12.499,Christianity,Female
West,Unemployed,203.616,3,11.413,Christianity,Male
West,Unemployed,116.712,2,9.224,Christianity,Male
East,Self Employed,32.292,3,1.776,Christianity,Female
East,Self Employed,90.402,1,12.079,Islam,Male
West,Employed,102.9,5,9.373,Traditional,Female
East,Self Employed,47.472,4,4.974,Islam,Male
East,Self Employed,12.012,1,1.321,Islam,Male
East,Self Employed,51.3084,1,7.413,Islam,Female
West,Unemployed,731.34,5,135.206,Islam,Male
East,Unemployed,172.44,6,22.011,Christianity,Female
East,Unemployed,131.904,6,17.48,Christianity,Male
West,Self Employed,272.544,4,12.426,Christianity,Male
West,Employed,99.528,2,8.913,Islam,Female
West,Self Employed,101.58,5,5.185,Christianity,Male
West,Self Employed,64.812,1,3.578,Christianity,Female
West,Self Employed,29.916,3,2.59,Christianity,Male
West,Employed,21.024,2,1.949,Christianity,Male
West,Unemployed,18.684,3,1.875,Christianity,Female
West,Employed,10.092,1,1.689,Christianity,Male
West,Self Employed,2.808,1,1.154,Christianity,Female
North,Self Employed,126.36,2,30.508,Atheist,Male
West,Self Employed,158.868,9,6.778,Christianity,Male
West,Self Employed,111.312,4,5.606,Christianity,Female
West,Self Employed,56.304,3,4.001,Christianity,Male
North,Self Employed,54.42,5,3.221,Islam,Female
West,Self Employed,43.368,2,2.558,Christianity,Male
West,Self Employed,37.62,5,2.326,Christianity,Male
West,Self Employed,26.448,4,1.939,Christianity,Female
North,Self Employed,5.328,4,1.851,Atheist,Male
West,Unemployed,16.884,3,1.644,Christianity,Female
West,Self Employed,22.464,4,1.351,Christianity,Male
West,Self Employed,6.09,1,1.24,Christianity,Male
West,Self Employed,3.336,2,1.24,Christianity,Female
West,Self Employed,21.528,2,1.719,Christianity,Male
South,Self Employed,604.07568,4,55.587,Atheist,Female
East,Self Employed,144.1778,1,1.537,Islam,Male
West,Self Employed,92.88,12,10.955,Islam,Male
West,Self Employed,103.76496,2,7.4,Islam,Female
West,Employed,21.204,3,1.887,Christianity,Male
West,Employed,21.864,2,1.787,Christianity,Female
West,Employed,20.376,3,1.681,Christianity,Male
West,Employed,409.824,4,31.702,Christianity,Male
West,Self Employed,86.604,7,10.236,Islam,Female
West,Self Employed,77.52,4,9.275,Traditional,Male
East,Employed,10.512,1,3.155,Atheist,Female
West,Employed,35.184,2,3.038,Christianity,Male
West,Self Employed,16.128,3,1.388,Islam,Male
West,Unemployed,6.714,3,1.315,Christianity,Female
South,Self Employed,705.072,4,128.721,Islam,Male
West,Self Employed,418.26512,4,59.344,Islam,Female
South,Self Employed,322.44,5,37.839,Christianity,Male
South,Self Employed,306.936,6,25.931,Islam,Male
South,Self Employed,44.964,1,8.138,Islam,Female
South,Self Employed,133.344,3,8.105,Islam,Male
South,Self Employed,136.272,2,4.361,Christianity,Female
West,Employed,27.504,6,2.638,Traditional,Male
West,Self Employed,1682.748,9,219.842,Islam,Male
North,Self Employed,947.22,5,197.179,Christianity,Female
East,Employed,167.496,7,14.102,Christianity,Male
West,Unemployed,218.4,4,15.654,Christianity,Female
West,Self Employed,215.46,5,14.174,Christianity,Male
West,Self Employed,63.84,2,4.062,Christianity,Male
West,Unemployed,24.156,3,2.62,Christianity,Female
West,Self Employed,59.328,3,2.325,Christianity,Male
West,Self Employed,101.376,3,2.263,Christianity,Female
West,Self Employed,31.428,3,2.197,Christianity,Male
West,Self Employed,21.816,1,1.942,Christianity,Male
South,Employed,634.848,8,80.601,Christianity,Female
South,Employed,1311.552,9,76.651,Christianity,Male
North,Employed,94.128,4,22.413,Islam,Female
East,Self Employed,261.84,4,17.508,Christianity,Male
East,Self Employed,146.988,9,15.908,Christianity,Male
North,Employed,77.472,4,11.286,Islam,Female
East,Self Employed,123.06,7,8.032,Christianity,Male
North,Self Employed,43.74,3,7.502,Islam,Female
West,Self Employed,81.9,5,7.472,Traditional,Male
South,Employed,66.936,2,5.52,Christianity,Male
North,Employed,32.4,6,5.103,Christianity,Female
South,Employed,40.5,9,4.961,Christianity,Male
North,Employed,15.948,3,2.95,Islam,Female
North,Employed,17.556,1,2.858,Islam,Male
West,Employed,52.74,5,2.245,Christianity,Male
South,Unemployed,6.336,2,1.242,Atheist,Female
East,Self Employed,182.304,3,28.783,Christianity,Male
South,Employed,240.912,6,20.883,Islam,Female
West,Self Employed,266.688,6,15.512,Christianity,Male
South,Employed,100.5,5,9.13,Islam,Male
West,Self Employed,77.28,2,8.569,Christianity,Female
West,Employed,113.52,2,7.597,Christianity,Male
West,Employed,161.1,5,5.024,Christianity,Female
West,Unemployed,50.58,5,3.929,Christianity,Male
West,Employed,70.128,6,3.879,Christianity,Male
South,Employed,24.408,2,3.348,Islam,Female
South,Employed,10.41,5,2.659,Islam,Male
West,Unemployed,38.064,4,2.408,Christianity,Female
East,Self Employed,7.536,1,2.049,Christianity,Male
West,Self Employed,17.892,3,1.962,Christianity,Male
East,Self Employed,19.644,1,1.476,Christianity,Female
South,Employed,58.006,1,1.431,Islam,Male
South,Employed,2.364,2,1.375,Islam,Female
West,Self Employed,6.444,1,1.352,Christianity,Male
West,Self Employed,113.64,5,15.911,Islam,Male
West,Self Employed,161.532,3,11.365,Christianity,Female
East,Self Employed,78.48,1,8.264,Christianity,Male
West,Unemployed,63.552,8,8.032,Islam,Female
East,Self Employed,58.416,4,5.725,Christianity,Male
West,Unemployed,13.32,5,2.535,Islam,Male
East,Self Employed,16.512,1,1.702,Christianity,Female
East,Self Employed,255.168,8,22.284,Atheist,Male
West,Employed,208.572,7,20.438,Islam,Female
East,Self Employed,13.032,3,3.651,Atheist,Male
East,Self Employed,6.69,5,1.179,Atheist,Male
West,Self Employed,94.2,1,6.72,Islam,Female
West,Self Employed,42.06,1,4.7,Islam,Male
West,Self Employed,20.49,1,2.08,Traditional,Female
East,Employed,1512,6,356.84,Atheist,Male
North,Unemployed,766.872,2,250.36,Islam,Male
North,Unemployed,952.722,9,198.02,Islam,Female
South,Self Employed,1049.616,4,125.32,Christianity,Male
East,Self Employed,433.98,5,124.63,Atheist,Female
West,Self Employed,2525.184,8,109.57,Christianity,Male
East,Self Employed,572.454,3,94.94,Islam,Male
West,Self Employed,822.852,3,89.93,Traditional,Female
East,Employed,316.296,2,86.25,Atheist,Male
East,Employed,294.66,6,86.12,Atheist,Female
West,Self Employed,1893.888,6,85.5,Christianity,Male
West,Self Employed,779.58,2,85.48,Islam,Male
West,Employed,785.79,5,81.18,Islam,Female
East,Employed,366.84,4,74.01,Atheist,Male
East,Employed,706.158,3,65.18,Christianity,Female
West,Unemployed,418.716,6,64.22,Islam,Male
North,Unemployed,488.04,2,61.19,Christianity,Male
West,Unemployed,560.52,3,60.33,Islam,Female
South,Employed,511.44,4,58.14,Christianity,Male
West,Employed,595.296,2,56.68,Christianity,Female
South,Unemployed,141.12,5,49,Atheist,Male
West,Unemployed,701.298,9,47.38,Christianity,Male
North,Self Employed,381.84,4,47.31,Islam,Female
North,Employed,747,4,45.8,Christianity,Male
West,Self Employed,363.924,11,42.14,Islam,Female
East,Self Employed,332.856,3,41.81,Atheist,Male
East,Self Employed,269.244,3,36.79,Islam,Male
West,Self Employed,267.732,3,34.73,Islam,Female
West,Self Employed,274.32,2,34.12,Islam,Male
East,Self Employed,288,4,33.66,Islam,Female
West,Self Employed,475.2,2,30.93,Christianity,Male
West,Self Employed,455.76,5,30.71,Christianity,Male
North,Self Employed,98.64,2,30.28,Atheist,Female
North,Unemployed,158.22,6,28.92,Islam,Male
West,Self Employed,266.976,9,28.88,Christianity,Female
South,Self Employed,90.936,3,24.38,Atheist,Male
South,Self Employed,223.83,5,24.17,Christianity,Male
North,Unemployed,383.46,14,22.04,Christianity,Female
West,Self Employed,232.47,7,21.75,Islam,Male
West,Self Employed,119.556,3,21.5,Islam,Female
West,Self Employed,236.97,5,21.46,Christianity,Male
West,Self Employed,599.28,4,21.41,Christianity,Male
West,Self Employed,287.28,2,21.07,Christianity,Female
West,Employed,386.64,12,19.83,Christianity,Male
West,Unemployed,356.508,2,19.19,Christianity,Female
West,Employed,623.43,5,19,Christianity,Male
North,Unemployed,150.84,5,17.31,Islam,Male
West,Self Employed,92.934,3,16.9,Traditional,Female
West,Self Employed,248.58,2,16.51,Islam,Male
North,Unemployed,71.208,4,15.46,Islam,Female
North,Employed,117.558,1,13.63,Christianity,Male
West,Employed,204.21,5,13.56,Christianity,Male
West,Self Employed,86.4,3,13.5,Islam,Female
East,Employed,78.372,7,13.5,Islam,Male
West,Self Employed,83.754,3,13.5,Traditional,Female
North,Self Employed,44.64,5,13.18,Atheist,Male
West,Self Employed,85.464,1,13.12,Islam,Male
West,Employed,202.716,3,12.97,Christianity,Female
East,Self Employed,68.76,1,12.04,Atheist,Male
West,Employed,117.126,9,10.94,Christianity,Female
West,Self Employed,78.246,3,10.89,Traditional,Male
West,Unemployed,206.712,6,10.77,Christianity,Male
West,Unemployed,209.16,7,10.69,Christianity,Female
West,Unemployed,158.976,2,10.69,Christianity,Male
West,Self Employed,57.84,1,10.68,Islam,Female
East,Self Employed,95.904,8,10.47,Christianity,Male
North,Self Employed,33.66,2,10.36,Atheist,Male
East,Employed,88.74,5,10.31,Christianity,Female
East,Self Employed,100.404,2,10.15,Christianity,Male
West,Self Employed,180.396,2,9.53,Christianity,Female
North,Employed,96.984,6,9.1,Christianity,Male
South,Employed,87.318,3,9.02,Christianity,Male
West,Employed,85.32,3,8.88,Islam,Female
West,Self Employed,79.884,2,8.46,Christianity,Male
West,Self Employed,109.8,4,8.45,Christianity,Female
West,Unemployed,190.944,6,7.47,Christianity,Male
South,Self Employed,56.052,2,7.41,Christianity,Male
West,Self Employed,81.9,6,7.4,Islam,Female
West,Unemployed,69.39,3,6.64,Christianity,Male
West,Unemployed,1034.964,7,6.55,Christianity,Female
North,Unemployed,38.412,2,6.5,Islam,Male
West,Self Employed,72.54,2,6.42,Christianity,Male
South,Self Employed,29.322,3,6.19,Islam,Female
South,Self Employed,148.104,2,6.17,Christianity,Male
West,Self Employed,45.432,4,5.97,Islam,Female
West,Self Employed,90.018,3,5.94,Christianity,Male
East,Employed,64.764,2,5.34,Christianity,Male
South,Self Employed,50.148,2,5.08,Atheist,Female
West,Employed,81.324,3,5.02,Christianity,Male
West,Employed,105.84,6,4.99,Christianity,Female
South,Self Employed,33.264,1,4.93,Christianity,Male
West,Self Employed,42.408,4,4.85,Traditional,Male
West,Employed,56.88,5,4.81,Christianity,Female
East,Employed,119.07,1,4.77,Christianity,Male
West,Unemployed,55.86,2,4.74,Christianity,Female
North,Unemployed,36.072,4,4.63,Islam,Male
North,Employed,26.064,1,4.49,Islam,Male
West,Self Employed,81.36,4,4.34,Christianity,Female
West,Self Employed,99.72,2,4.33,Christianity,Male
West,Employed,87.03,5,4.2,Christianity,Female
East,Employed,129.33,3,4.06,Christianity,Male
West,Employed,48.6,3,4.03,Christianity,Male
East,Self Employed,13.284,2,3.99,Atheist,Female
North,Self Employed,27.432,6,3.86,Atheist,Male
East,Self Employed,32.724,2,3.84,Christianity,Female
West,Self Employed,68.796,2,3.81,Christianity,Male
East,Self Employed,10.854,3,3.76,Atheist,Male
North,Self Employed,14.832,2,3.67,Islam,Female
West,Self Employed,58.716,2,3.29,Christianity,Male
West,Unemployed,63.936,2,3.22,Christianity,Female
East,Self Employed,16.92,2,3.21,Atheist,Male
North,Self Employed,24.84,4,3.17,Atheist,Male
East,Self Employed,67.92,2,3.13,Islam,Female
West,Self Employed,19.098,1,3.11,Islam,Male
West,Employed,43.65,5,3.11,Christianity,Female
West,Unemployed,35.748,2,3.01,Christianity,Male
East,Employed,14.76,2,3,Atheist,Male
West,Employed,30.024,3,2.95,Christianity,Female
West,Unemployed,32.328,2,2.93,Islam,Male
West,Self Employed,18.288,2,2.81,Islam,Female
West,Employed,34.416,4,2.81,Christianity,Male
West,Self Employed,42.57,5,2.75,Christianity,Male
West,Unemployed,28.098,7,2.7,Christianity,Female
West,Unemployed,23.868,6,2.55,Islam,Male
West,Self Employed,36,2,2.44,Christianity,Female
West,Employed,47.52,3,2.41,Christianity,Male
South,Employed,19.224,2,2.39,Christianity,Male
West,Self Employed,51.264,2,2.2,Islam,Female
East,Employed,13.428,2,2.1,Islam,Male
West,Employed,53.568,1,2.08,Christianity,Female
West,Unemployed,13.356,2,1.97,Christianity,Male
East,Self Employed,6.318,1,1.96,Christianity,Male
West,Employed,25.776,4,1.95,Christianity,Female
West,Employed,10.08,2,1.91,Christianity,Male
West,Employed,23.112,1,1.86,Christianity,Female
West,Employed,65.628,2,1.84,Christianity,Male
North,Self Employed,10.368,2,1.84,Islam,Male
East,Self Employed,6.45,1,1.8,Christianity,Female
East,Self Employed,25.218,3,1.8,Islam,Male
North,Self Employed,12.852,3,1.79,Atheist,Female
West,Unemployed,24.696,2,1.78,Christianity,Male
